bbg_ticker,Generic_Ticker,Contract_Size,Category,Currency
LMAHDP 20260827 Comdty,LMAHDY Comdty,25.0,Base Metal,USD
LMAHDP 20260714 Comdty,LMAHDY Comdty,25.0,Base Metal,USD
LMNIDP 20260827 Comdty,LMNIDY Comdty,6.0,Base Metal,USD
CLN6 Comdty,CL1 Comdty,1000.0,Energy,USD
NXM6 Index,NX1 Index,5.0,Equity Index,USD
XIDK6 Curncy,XID1 Curncy,2000000.0,Currency,USD
LMNIDP 20260821 Comdty,LMNIDY Comdty,6.0,Base Metal,USD
HCK6 Index,HC1 Index,50.0,Equity Index,HKD
HIK6 Index,HI1 Index,50.0,Equity Index,HKD
GCM6 Comdty,GC1 Comdty,100.0,Precious Metal,USD
LMZSDP 20260820 Comdty,LMZSDY Comdty,25.0,Base Metal,USD
LMZSDP 20260617 Comdty,LMZSDY Comdty,25.0,Base Metal,USD
LMCADP 20260819 Comdty,LMCADY Comdty,25.0,Base Metal,USD
UEAM6C 1.185 Curncy,UEA1 Curncy,125000.0,Currency,USD
PAM6 Comdty,PA1 Comdty,100.0,Precious Metal,USD
GCM6C 4800 Comdty,GC1 Comdty,100.0,Precious Metal,USD
UXK6 Index,UX1 Index,1000.0,Equity Index,USD
LMNIDP 20260520 Comdty,LMNIDY Comdty,6.0,Base Metal,USD
LMNIDP 20260814 Comdty,LMNIDY Comdty,6.0,Base Metal,USD
LMCADP 20260814 Comdty,LMCADY Comdty,25.0,Base Metal,USD
LMZSDP 20260814 Comdty,LMZSDY Comdty,25.0,Base Metal,USD
LMZSDP 20260520 Comdty,LMZSDY Comdty,25.0,Base Metal,USD
LMAHDP 20260813 Comdty,LMAHDY Comdty,25.0,Base Metal,USD
LMZSDP 20260813 Comdty,LMZSDY Comdty,25.0,Base Metal,USD
LMNIDP 20260813 Comdty,LMNIDY Comdty,6.0,Base Metal,USD
LMNIDP 20260812 Comdty,LMNIDY Comdty,6.0,Base Metal,USD
LMZSDP 20260811 Comdty,LMZSDY Comdty,25.0,Base Metal,USD
LMCADP 20260811 Comdty,LMCADY Comdty,25.0,Base Metal,USD
LMCADP 20260617 Comdty,LMCADY Comdty,25.0,Base Metal,USD
LMNIDP 20260807 Comdty,LMNIDY Comdty,6.0,Base Metal,USD
LMAHDP 20260617 Comdty,LMAHDY Comdty,25.0,Base Metal,USD
LMAHDP 20260807 Comdty,LMAHDY Comdty,25.0,Base Metal,USD
LMSNDP 20260806 Comdty,LMSNDY Comdty,5.0,Base Metal,USD
LMNIDP 20260806 Comdty,LMNIDY Comdty,6.0,Base Metal,USD
UEAK6C 1.175 Curncy,UEA1 Curncy,125000.0,Currency,USD
JADK6C 64 Curncy,JAD1 Curncy,12500000.0,Currency,USD
TOPJ6 Comdty,TOP1 Comdty,25.0,Base Metal,USD
CLM6 Comdty,CL1 Comdty,1000.0,Energy,USD
CQDK26 Comdty,CQD1 Comdty,1000.0,Energy,USD
PFRJ6 Comdty,PFR1 Comdty,100.0,Chemicals,USD
ZZBJ6 Comdty,ZZB1 Comdty,100.0,Chemicals,USD
MFSJ6 Comdty,MFS1 Comdty,100.0,Ferrous,USD
IACJ6 Comdty,IAC1 Comdty,100.0,Ferrous,USD
CJPJ26 Comdty,CJP1 Comdty,1000.0,Energy,USD
SCOJ6 Comdty,SCO1 Comdty,100.0,Ferrous,USD
GCM6C 4975 Comdty,GC1 Comdty,100.0,Precious Metal,USD
LMAHDP 20260730 Comdty,LMAHDY Comdty,25.0,Base Metal,USD
LMAHDP 20260630 Comdty,LMAHDY Comdty,25.0,Base Metal,USD
SIM6 Comdty,SI1 Comdty,5000.0,Precious Metal,USD
LMZSDP 20260728 Comdty,LMZSDY Comdty,25.0,Base Metal,USD
W K6 Comdty,W 1 Comdty,5000.0,Agriculture,USD
COM6 Comdty,CO1 Comdty,1000.0,Energy,USD
HCTJ6 Index,HCT1 Index,50.0,Equity Index,HKD
LMNIDP 20260727 Comdty,LMNIDY Comdty,6.0,Base Metal,USD
LMAHDP 20260724 Comdty,LMAHDY Comdty,25.0,Base Metal,USD
LMNIDP 20260724 Comdty,LMNIDY Comdty,6.0,Base Metal,USD
LMNIDP 20260723 Comdty,LMNIDY Comdty,6.0,Base Metal,USD
ORQ6 Comdty,OR1 Comdty,5.0,Chemicals,USD
ORN6 Comdty,OR1 Comdty,5.0,Chemicals,USD
HIJ6 Index,HI1 Index,50.0,Equity Index,HKD
LMNIDP 20260722 Comdty,LMNIDY Comdty,6.0,Base Metal,USD
S N6 Comdty,S 1 Comdty,5000.0,Agriculture,USD
SIK6 Comdty,SI1 Comdty,5000.0,Precious Metal,USD
LMNIDP 20260721 Comdty,LMNIDY Comdty,6.0,Base Metal,USD
JADK6C 64.5 Curncy,JAD1 Curncy,12500000.0,Currency,USD
GCK6C 4900 Comdty,GC1 Comdty,100.0,Precious Metal,USD
XPTUSD 20260423 Curncy,XPTUSD Curncy,1.0,Precious Metal,USD
C K6C 500 Comdty,C 1 Comdty,5000.0,Agriculture,USD
RSK6 Comdty,RS1 Comdty,20.0,Agriculture,CAD
LMNIDP 20260720 Comdty,LMNIDY Comdty,6.0,Base Metal,USD
BBWH27 Comdty,BBW1 Comdty,1000.0,Energy,USD
BBWG27 Comdty,BBW1 Comdty,1000.0,Energy,USD
XPTUSD 20260421 Curncy,XPTUSD Curncy,1.0,Precious Metal,USD
LMPBDP 20260716 Comdty,LMPBDY Comdty,25.0,Base Metal,USD
LMPBDP 20260520 Comdty,LMPBDY Comdty,25.0,Base Metal,USD
HGK6 Comdty,HG1 Comdty,25000.0,Base Metal,USD
BBWU26 Comdty,BBW1 Comdty,1000.0,Energy,USD
BBWQ26 Comdty,BBW1 Comdty,1000.0,Energy,USD
BBWN26 Comdty,BBW1 Comdty,1000.0,Energy,USD
LMCADP 20260716 Comdty,LMCADY Comdty,25.0,Base Metal,USD
XPTUSD 20260420 Curncy,XPTUSD Curncy,1.0,Precious Metal,USD
UXJ6 Index,UX1 Index,1000.0,Equity Index,USD
CTK6 Comdty,CT1 Comdty,50000.0,Agriculture,USD
LMCADP 20260714 Comdty,LMCADY Comdty,25.0,Base Metal,USD
LMCADP 20260520 Comdty,LMCADY Comdty,25.0,Base Metal,USD
LMNIDP 20260714 Comdty,LMNIDY Comdty,6.0,Base Metal,USD
ESM6 Index,ES1 Index,50.0,Equity Index,USD
XPTUSD 20260416 Curncy,XPTUSD Curncy,1.0,Precious Metal,USD
LMAHDP 20260713 Comdty,LMAHDY Comdty,25.0,Base Metal,USD
LMCADP 20260710 Comdty,LMCADY Comdty,25.0,Base Metal,USD
LMCADP 20260709 Comdty,LMCADY Comdty,25.0,Base Metal,USD
LMAHDP 20260708 Comdty,LMAHDY Comdty,25.0,Base Metal,USD
LMAHDP 20260707 Comdty,LMAHDY Comdty,25.0,Base Metal,USD
XPTUSD 20260414 Curncy,XPTUSD Curncy,1.0,Precious Metal,USD
LMNIDP 20260415 Comdty,LMNIDY Comdty,6.0,Base Metal,USD
LMSNDP 20260709 Comdty,LMSNDY Comdty,5.0,Base Metal,USD
LMNIDP 20260709 Comdty,LMNIDY Comdty,6.0,Base Metal,USD
QSK6 Comdty,QS1 Comdty,100.0,Energy,USD
LMAHDP 20260709 Comdty,LMAHDY Comdty,25.0,Base Metal,USD
LMAHDP 20260702 Comdty,LMAHDY Comdty,25.0,Base Metal,USD
LMCADP 20260707 Comdty,LMCADY Comdty,25.0,Base Metal,USD
QSM6 Comdty,QS1 Comdty,100.0,Energy,USD
LMPBDP 20260707 Comdty,LMPBDY Comdty,25.0,Base Metal,USD
LMPBDP 20260415 Comdty,LMPBDY Comdty,25.0,Base Metal,USD
LMZSDP 20260707 Comdty,LMZSDY Comdty,25.0,Base Metal,USD
LMZSDP 20260612 Comdty,LMZSDY Comdty,25.0,Base Metal,USD
SBK6 Comdty,SB1 Comdty,112000.0,Agriculture,USD
S K6 Comdty,S 1 Comdty,5000.0,Agriculture,USD
LFAH6 Comdty,LFA1 Comdty,1000.0,Base Metal,USD
LMZSDP 20260702 Comdty,LMZSDY Comdty,25.0,Base Metal,USD
